Row,ProductID,TransactionDate,User,Price,Units,Discount,DepartureDate
1,2,1722301880000,26,206.82,1,0.55,1720080326000
2,5,1720239264000,44,223.68,6,0.67,1719579103000
3,8,1720158630000,110,201.4,4,0.21,1721026159000
4,7,1717701221000,106,103.05,1,0.97,1718292580000
5,9,1715226624000,110,23.93,5,0.62,1719745723000
6,1,1720270853000,104,104.96,9,0.61,1720171365000
7,9,1721031545000,249,89.76,3,0.87,1721651043000
8,8,1715193851000,36,139.27,3,0.7,1722189447000
9,6,1719106508000,47,220.67,5,0.57,1718445763000
10,8,1718859683000,163,142.05,5,0.76,1718478006000
11,2,1716979720000,113,164.21,5,0.15,1720030511000
12,5,1715080506000,285,138.53,3,0.52,1721508074000
13,7,1718953645000,276,168.19,3,0.33,1718540290000
14,4,1714901869000,226,215.48,2,0.6,1718900410000
15,10,1715770363000,157,50.92,7,0.17,1720154769000
16,10,1718669500000,230,56.63,4,0.28,1721203086000
17,7,1715036807000,151,264.54,8,0.66,1720265580000
18,8,1718342219000,87,168.67,8,0.76,1717345602000
19,10,1715940458000,103,185.46,3,0.13,1720488990000
20,6,1716278657000,91,124.21,1,0.08,1717605668000
21,8,1719539922000,133,162.65,3,0.53,1717759267000
22,3,1720717551000,96,236.67,4,0.13,1721415116000
23,6,1716641737000,44,183.82,2,0.39,1719263685000
24,1,1714955019000,181,253.67,8,0.27,1720879418000
25,5,1717827649000,115,183.92,8,0.08,1720433659000
26,4,1719191111000,78,120.14,10,0.34,1720619968000
27,9,1719060419000,284,298.84,7,0.74,1721088844000
28,6,1720059738000,236,87.79,9,0.56,1721834974000
29,1,1719312560000,285,153.42,7,0.57,1717869373000
30,5,1720552765000,168,129.35,6,0.76,1720498475000
31,8,1716751293000,275,129.56,6,0.55,1721905077000
32,10,1719237959000,41,73.03,9,0.78,1721653603000
33,2,1718716250000,273,247.76,5,0.07,1718055090000
34,8,1717683249000,63,154.54,7,0.98,1720859383000
35,8,1717173719000,258,77.22,1,0.81,1720317723000
36,10,1722268647000,97,58.65,4,0.19,1721125655000
37,6,1721817935000,230,190.54,3,0.79,1718084971000
38,3,1716769248000,71,10.16,4,0.13,1720380693000
39,2,1720417966000,290,157.61,6,0.88,1721988105000
40,8,1719472467000,206,180.35,4,0.57,1717248970000
41,10,1718176482000,136,215.53,5,0.92,1719581733000
42,3,1719776420000,115,199.51,7,0.66,1717280584000
43,8,1722019148000,16,146.74,4,0.38,1719767162000
44,9,1721527307000,216,143.67,10,0.31,1719768567000
45,2,1717899577000,84,179.43,6,0.65,1722095427000
46,2,1720320153000,265,34.9,6,0.47,1720355369000
47,4,1714637038000,283,106.3,6,0.78,1720976731000
48,10,1719260485000,134,52.97,7,0.72,1720180046000
49,3,1715838943000,205,280.41,4,0.87,1720922720000
50,2,1718878976000,113,38.66,1,0.37,1721550361000
51,2,1720149766000,166,157.76,7,0.32,1717757913000
52,8,1717660315000,59,69.32,1,0.75,1719044556000
53,2,1721665420000,115,44.13,4,0.57,1719273313000
54,1,1717741179000,62,65.0,7,0.07,1718795392000
55,1,1721427060000,28,106.13,9,0.65,1720590060000
56,10,1718928495000,136,251.15,2,0.98,1719111280000
57,8,1720423781000,182,54.94,7,0.72,1719640321000
58,9,1714537057000,177,102.4,2,0.12,1719795649000
59,5,1720304791000,111,23.47,10,0.25,1722202388000
60,10,1715426254000,300,51.18,8,0.29,1721795975000
61,7,1718698457000,267,172.83,5,0.87,1720872235000
62,1,1716769114000,10,162.92,10,0.39,1717570528000
63,2,1718942882000,174,132.79,1,0.94,1718171641000
64,2,1720465632000,77,83.98,7,0.37,1717906969000
65,3,1717686589000,236,54.66,3,0.36,1718869724000
66,6,1716945557000,221,204.29,6,0.4,1721502121000
67,1,1719877510000,184,35.6,9,0.99,1718070701000
68,5,1716696327000,140,82.53,4,0.47,1718873028000
69,3,1721259648000,107,45.44,9,0.6,1721056262000
70,9,1717854454000,297,151.17,6,0.43,1720370406000
71,3,1719898011000,208,44.76,8,0.23,1722324956000
72,10,1715623720000,179,163.69,5,0.45,1721445277000
73,3,1716815438000,40,236.88,3,0.02,1719412886000
74,5,1722148362000,13,179.67,6,0.82,1718098015000
75,4,1717973589000,2,52.84,5,0.89,1718210232000
76,9,1714649657000,173,49.08,7,0.23,1718204089000
77,1,1715953993000,36,221.92,6,0.99,1722291444000
78,5,1714891708000,93,29.65,10,0.67,1718277386000
79,5,1717517906000,263,106.84,1,0.69,1720068355000
80,8,1722059365000,154,210.74,10,0.62,1722337214000
81,3,1720116310000,277,157.49,8,0.22,1717252545000
82,8,1716586149000,224,87.81,8,0.57,1719353725000
83,8,1719809487000,154,172.97,3,0.74,1718816425000
84,5,1718173453000,145,24.26,7,0.95,1721040827000
85,9,1718964143000,226,254.95,8,0.1,1721417764000
86,8,1720908663000,198,188.1,4,0.29,1717725183000
87,3,1719356752000,159,218.25,2,0.93,1718526432000
88,10,1715766076000,153,55.67,3,0.96,1718094608000
89,9,1717656885000,141,59.14,9,0.37,1721317136000
90,3,1716399367000,145,260.74,3,0.7,1720477134000
91,4,1721512604000,39,263.62,8,0.58,1721876902000
92,4,1716483995000,232,49.72,8,0.78,1721120782000
93,7,1718426030000,162,243.37,3,0.49,1718298208000
94,7,1716410055000,169,220.73,4,0.35,1717487270000
95,8,1719440810000,165,193.2,8,0.75,1721641530000
96,10,1715348165000,43,121.98,2,0.18,1721815280000
97,4,1722220915000,139,220.56,4,0.19,1719536601000
98,5,1721724162000,253,218.72,3,0.1,1718396204000
99,9,1715214241000,53,47.85,2,0.53,1717972086000
100,6,1721369913000,14,185.35,1,0.62,1719470508000
101,6,1716336049000,215,195.96,6,0.62,1717449919000
102,6,1717061826000,203,101.63,5,0.61,1721749253000
103,6,1720914146000,33,84.36,7,0.44,1717209250000
104,1,1715057678000,7,44.48,4,0.76,1721357656000
105,4,1719019177000,286,97.22,4,0.3,1717471312000
106,1,1717345546000,198,266.27,7,0.09,1718622318000
107,8,1716980336000,60,169.28,1,0.62,1719273038000
108,10,1717358505000,220,162.52,8,0.78,1717869803000
109,6,1717597916000,91,200.59,5,0.21,1719965625000
110,6,1715252148000,85,250.27,8,0.09,1719972246000
111,2,1717776548000,43,49.63,8,0.64,1717377853000
112,3,1720425023000,10,246.52,9,0.76,1721773930000
113,2,1716107570000,252,299.96,10,0.16,1720977903000
114,9,1714991742000,52,48.49,1,0.61,1720623893000
115,3,1717392729000,22,240.22,2,0.01,1721988651000
116,1,1722216113000,51,56.5,4,0.46,1719282732000
117,7,1718032796000,125,37.94,3,0.31,1721331951000
118,2,1719970093000,5,205.9,1,0.37,1720476553000
119,9,1717794760000,97,233.14,1,0.41,1717543919000
120,10,1720906087000,26,73.77,8,0.91,1721322216000
121,3,1719747997000,250,144.2,2,0.77,1720527782000
122,2,1716371082000,208,50.59,2,0.11,1719295442000
123,5,1720746575000,251,204.11,2,0.98,1717681238000
124,4,1715369704000,290,171.44,6,0.94,1720436989000
125,8,1719205085000,219,87.72,5,0.6,1718480018000
126,9,1719818756000,45,9.32,1,0.34,1718464343000
127,1,1722101715000,279,186.55,5,0.78,1722148674000
128,3,1714534400000,223,158.94,5,0.93,1722298539000
129,7,1714662783000,253,292.99,8,0.4,1721730329000
130,3,1720206475000,239,214.09,1,0.16,1720306270000
131,1,1718649593000,203,108.9,4,0.1,1720449336000
132,4,1714989400000,109,125.04,6,0.44,1719425002000
133,6,1718798962000,143,105.85,3,0.53,1721086880000
134,3,1716803380000,36,90.56,10,0.91,1719625688000
135,8,1720011108000,205,19.17,6,0.48,1721927986000
136,1,1716141369000,125,35.53,4,0.92,1717937834000
137,1,1715081274000,191,297.95,2,0.9,1717404054000
138,1,1714677602000,85,54.87,2,0.51,1718034834000
139,8,1719645232000,6,167.87,7,0.72,1721218653000
140,1,1716598259000,234,189.29,6,0.26,1721328641000
141,2,1718149241000,228,154.43,9,0.26,1718744742000
142,9,1715943519000,222,230.81,7,0.22,1717383531000
143,6,1714889799000,100,32.87,9,0.05,1717979833000
144,10,1719355814000,88,157.35,6,0.09,1717335368000
145,6,1716983535000,17,189.09,8,0.2,1721595752000
146,5,1722004680000,244,227.95,3,0.3,1718632995000
147,8,1720749250000,263,164.7,9,0.08,1718293286000
148,3,1721085803000,63,73.57,3,0.46,1720438524000
149,3,1717957846000,172,184.39,8,0.8,1718745639000
150,3,1715906536000,107,165.41,9,0.63,1722250493000
151,4,1720353781000,81,29.96,1,0.77,1718109359000
152,2,1720759198000,238,231.42,1,0.86,1720810990000
153,8,1722256719000,38,119.55,6,0.1,1719930176000
154,2,1717431097000,211,188.96,7,0.45,1719419722000
155,4,1722062555000,262,230.51,9,0.19,1721768092000
156,6,1716375683000,294,40.28,8,0.27,1722116543000
157,1,1715920043000,202,81.71,6,0.85,1717883559000
158,5,1716366113000,173,229.94,8,0.72,1719636500000
159,9,1716279106000,260,84.64,2,0.89,1722213298000
160,7,1718125866000,80,72.62,6,0.17,1719470689000
161,9,1718611576000,56,208.19,3,0.49,1719014728000
162,6,1719676264000,36,179.28,9,0.33,1719883979000
163,8,1721486000000,74,65.36,9,0.63,1717208449000
164,1,1719133665000,104,251.18,6,0.71,1720026665000
165,10,1720475363000,237,219.37,1,0.08,1720351829000
166,6,1720345151000,197,265.0,4,0.56,1718525237000
167,1,1717008885000,28,95.12,8,0.89,1720375838000
168,6,1715907199000,31,273.31,7,0.43,1722204909000
169,8,1718062571000,108,51.48,6,0.12,1718075709000
170,8,1719003063000,293,218.75,9,0.6,1719397279000
171,1,1722123465000,68,250.16,10,0.32,1717388520000
172,2,1714730352000,39,293.65,9,0.42,1717975597000
173,7,1717140730000,187,270.71,10,0.92,1721147684000
174,4,1720056360000,64,93.37,3,0.83,1720186369000
175,4,1719442410000,77,185.72,5,0.04,1719346787000
176,7,1715964334000,8,266.01,1,0.8,1719333931000
177,4,1718155655000,262,16.46,3,0.13,1722251574000
178,6,1715902609000,180,227.58,7,0.79,1717840000000
179,5,1715931171000,65,161.01,8,0.66,1719147303000
180,9,1720305309000,222,292.16,6,0.99,1721521753000
181,10,1719296620000,280,167.75,5,0.34,1720934288000
182,9,1718039726000,163,109.9,5,0.97,1719079759000
183,6,1718956854000,257,73.91,7,0.93,1721853418000
184,2,1717225209000,200,171.94,8,0.17,1719519043000
185,5,1721049915000,107,178.55,7,0.55,1720100009000
186,7,1718470781000,52,122.82,5,0.86,1717961804000
187,5,1718127541000,289,183.06,2,0.99,1721556497000
188,5,1718082877000,158,260.85,4,0.79,1719933652000
189,5,1720193766000,242,146.73,3,0.24,1719497304000
190,3,1718280177000,207,111.52,2,0.45,1720298094000
191,7,1718096579000,242,231.87,3,0.22,1720658445000
192,9,1716532921000,12,190.97,5,0.26,1719109601000
193,3,1720892581000,261,276.52,4,0.2,1721059051000
194,9,1722240173000,178,148.36,5,0.01,1719767783000
195,7,1718537346000,271,286.15,6,0.99,1720290337000
196,7,1719706733000,46,186.36,10,0.22,1721795026000
197,3,1720812190000,196,179.77,2,0.77,1720606305000
198,5,1718367408000,254,225.99,9,0.88,1718633602000
199,10,1721787093000,169,197.42,4,0.8,1719367481000
200,10,1714730308000,172,203.69,3,0.17,1721761354000
